conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,skill/competence,transversal,брати активну участь у громадському житті,released,,"Активно долучатися до діяльності, що становить спільний або громадський інтерес, наприклад, до ініціатив громадян, громад чи сусідства, волонтерських можливостей та недержавних організації.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,застосування громадянських навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,skill/competence,transversal,критично мислити,released,,"Формувати та захищати судження на основі внутрішніх доказів і зовнішніх критеріїв. Критично оцінювати достовірність і надійність інформації перед тим, як використовувати її або передати іншим. Розвивати незалежне і критичне мислення.
	",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"обробка інформації, ідей та концепцій"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,skill/competence,transversal,залучати інших людей до екологічного ставлення до навколишнього середовища,released,,"Інформувати про екологічно безпечну поведінку та пропагувати її в соціальних мережах і на роботі.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,застосування екологічних навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,skill/competence,transversal,приділяти увагу деталям,released,,"Завершувати завдання, зважаючи на всі дотичні сфери, якими незначними вони б не були.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,ефективна робота
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,skill/competence,transversal,усвідомлено користуватися системою охорони здоров’я,released,,"Визначати та вибирати правильні профілактичні й лікувальні послуги або агенції, які пропонують послуги в галузі охорони здоров’я, та безпечно застосовувати відповідні лікарські засоби.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,"застосування навичок і компетенцій, пов’язаних зі здоров’ям"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,skill/competence,transversal,просувати принципи демократії та верховенства права,released,,"Відігравати активну роль у пропагуванні принципів демократії, соціальної справедливості та верховенства права. Боротися з дискримінацією за ознакою етнічної приналежності, культури, статі чи сексуальної орієнтації, а також за ознакою соціального походження, освіти чи майнового стану, шляхом оцінювання та озвучування наслідків для різних груп будь-якої запланованої дії, зокрема законодавства, політики або програм.
	",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,застосування громадянських навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,skill/competence,transversal,творчо самовиражатися,released,,"Уміти використовувати мистецтво співу, танцю, інструментальної гри, акторської гри чи образотворче мистецтво для творчого самовираження.
	",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,застосування культурних навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,skill/competence,transversal,вирішувати конфлікти,released,,"Здійснювати медіацію в конфліктах і напружених ситуаціях, діючи між сторонами, намагаючись досягти угоди, примирити їх та вирішити проблеми. Урегульовувати конфлікт так, щоб жодна з жертв не почувалася, наче з нею вчинили несправедливо, та заздалегідь уникати суперечок.
	",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,спілкування
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,skill/competence,transversal,цінувати різноманітні форми культурного та мистецького самовираження,released,,"Виявляти естетичні почуття, інтерес та відкритість до культурного вираження різного культурного походження.
	",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,застосування культурних навичок і компетенцій
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,skill/competence,transversal,демонструвати готовність до навчання,released,,"Виявляти позитивне ставлення до нових і складних вимог, які можна виконати лише завдяки безперервному навчанню.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,демонстрація бажання вчитися
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,skill/competence,transversal,"точно використовувати обладнання, інструменти й технології",released,,"Використовувати самостійно деталі, інструменти, прецизійні інструменти або устаткування для виконання ручної роботи з мінімальною підготовкою чи без неї.
	",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,маніпулювання та керування об’єктами й обладнанням
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135,skill/competence,transversal,зберігати концентрацію уваги протягом тривалого часу,released,,"Залишатися зосередженим протягом тривалого часу, щоб зробити правильні судження та ухвалити належні рішення.
	",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,ефективна робота
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,skill/competence,transversal,виявляти проблеми,released,,"Визначати і виявляти проблеми та ухвалювати рішення щодо оптимального плану дій. Відповідно за необхідності звітувати про проблеми.
	",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,вирішення проблем
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a,skill/competence,transversal,підтримувати фізичну форму,released,,"Засвоювати та застосовувати форми профілактичної здорової поведінки, зокрема регулярні фізичні вправи, здоровий сон та здорове харчування.
	",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,"застосування навичок і компетенцій, пов’язаних зі здоров’ям"
